date,hits_hour,visits,newvisits,transactions
20140714,0,3481,1569,40
20140714,1,2168,1159,20
20140714,2,994,486,10
20140714,3,560,304,3
20140714,4,360,200,5
20140714,5,384,225,1
20140714,6,572,329,5
20140714,7,1166,565,5
20140714,8,2937,1330,38
20140714,9,5122,2223,63
20140714,10,6279,2686,66
20140714,11,7184,3014,71
20140714,12,7260,3023,87
20140714,13,6965,3018,69
20140714,14,6443,2753,70
20140714,15,6388,2749,64
20140714,16,6858,2957,81
20140714,17,7636,3338,91
20140714,18,7105,3160,71
20140714,19,6521,3044,75
20140714,20,6277,3021,67
20140714,21,6207,2923,64
20140714,22,6560,3185,65
20140714,23,5671,2624,45
20140715,0,4211,2093,39
20140715,1,2154,1134,20
20140715,2,1194,635,11
20140715,3,787,446,1
20140715,4,544,312,1
20140715,5,511,291,2
20140715,6,907,525,5
20140715,7,1706,826,16
20140715,8,3805,1639,31
20140715,9,6165,2472,52
20140715,10,8827,3400,86
20140715,11,9816,3803,67
20140715,12,10196,3795,82
20140715,13,9614,3524,82
20140715,14,8791,3386,74
20140715,15,8060,3097,73
20140715,16,8108,3230,69
20140715,17,6724,2867,92
20140715,18,5948,2831,53
20140715,19,5498,2501,63
20140715,20,5402,2509,55
20140715,21,5535,2447,51
20140715,22,5819,2570,73
20140715,23,4977,2414,38
20140716,0,3658,1740,49
20140716,1,2327,1167,19
20140716,2,1217,633,10
20140716,3,646,367,2
20140716,4,461,267,1
20140716,5,427,265,4
20140716,6,626,369,7
20140716,7,1365,748,9
20140716,8,3063,1439,39
20140716,9,5286,2418,60
20140716,10,6371,2815,76
20140716,11,6763,3016,79
20140716,12,7071,3150,91
20140716,13,7449,3135,72
20140716,14,6493,2642,71
20140716,15,6306,2884,60
20140716,16,7354,3112,84
20140716,17,6958,3030,57
20140716,18,6335,2976,65
20140716,19,6282,3189,57
20140716,20,5884,3018,59
20140716,21,5912,2907,45
20140716,22,5950,2993,59
20140716,23,5651,2932,28
20140717,0,4548,2467,61
20140717,1,2216,1201,17
20140717,2,1083,583,8
20140717,3,636,397,5
20140717,4,452,270,
20140717,5,753,595,1
20140717,6,935,651,7
20140717,7,1521,739,15
20140717,8,3141,1312,21
20140717,9,5409,2220,57
20140717,10,6412,2568,69
20140717,11,6749,2784,59
20140717,12,6852,2844,68
20140717,13,7027,2941,79
20140717,14,6706,2987,62
20140717,15,6806,2942,48
20140717,16,7076,3148,70
20140717,17,9288,3625,61
20140717,18,8701,3451,59
20140717,19,8206,3290,60
20140717,20,8013,3382,40
20140717,21,7748,3081,57
20140717,22,7911,3306,62
20140717,23,7148,3259,28
20140718,0,5274,2453,50
20140718,1,2743,1367,30
20140718,2,1396,704,6
20140718,3,876,489,4
20140718,4,523,293,4
20140718,5,563,341,3
20140718,6,989,566,2
20140718,7,1878,820,13
20140718,8,4482,1629,38
20140718,9,7411,2599,56
20140718,10,8833,3119,76
20140718,11,9299,3258,88
20140718,12,9089,3394,89
20140718,13,8738,3291,60
20140718,14,7340,2562,32
20140718,15,7482,2845,22
20140718,16,7809,3064,48
20140718,17,7738,3006,66
20140718,18,7604,3149,58
20140718,19,6749,2792,39
20140718,20,6369,2626,46
20140718,21,6457,2661,44
20140718,22,6600,2750,53
20140718,23,5764,2414,29
20140719,0,4157,1665,37
20140719,1,2437,1060,19
20140719,2,1278,556,6
20140719,3,661,315,8
20140719,4,398,216,3
20140719,5,306,173,2
20140719,6,405,232,2
20140719,7,1015,522,1
20140719,8,2021,968,14
20140719,9,3102,1341,28
20140719,10,3984,1810,30
20140719,11,4517,1965,41
20140719,12,4711,2010,50
20140719,13,4756,2009,47
20140719,14,4400,1984,29
20140719,15,4047,1813,49
20140719,16,3919,1765,31
20140719,17,4063,1837,37
20140719,18,3964,1731,39
20140719,19,4199,1890,41
20140719,20,4061,1873,36
20140719,21,4238,1891,26
20140719,22,4351,1886,43
20140719,23,4134,1879,20
20140720,0,3427,1592,47
20140720,1,2039,930,17
20140720,2,1164,565,6
20140720,3,647,300,4
20140720,4,358,182,2
20140720,5,320,170,1
20140720,6,380,224,1
20140720,7,701,389,3
20140720,8,1497,754,9
20140720,9,2344,1071,19
20140720,10,2999,1397,20
20140720,11,3659,1751,34
20140720,12,3906,1887,36
20140720,13,4180,1942,38
20140720,14,4102,1950,31
20140720,15,4072,1970,35
20140720,16,4034,1931,33
20140720,17,4299,2061,31
20140720,18,4441,2183,30
20140720,19,4629,2246,45
20140720,20,4896,2298,39
20140720,21,5259,2418,32
20140720,22,5266,2285,49
20140720,23,4645,2147,23
20140721,0,3853,1853,51
20140721,1,2006,965,15
20140721,2,921,473,13
20140721,3,571,281,2
20140721,4,378,207,3
20140721,5,329,179,4
20140721,6,488,275,7
20140721,7,1073,449,12
20140721,8,2660,1109,27
20140721,9,4712,1892,46
20140721,10,6108,2536,69
20140721,11,7116,2940,80
20140721,12,7474,3117,86
20140721,13,7325,2998,77
20140721,14,6444,2621,67
20140721,15,6512,2739,55
20140721,16,6828,2918,61
20140721,17,6908,3013,62
20140721,18,6486,2952,55
20140721,19,5742,2547,60
20140721,20,5861,2631,50
20140721,21,6047,2727,61
20140721,22,6046,2724,65
20140721,23,5219,2408,23
20140722,0,3779,1699,43
20140722,1,2018,917,16
20140722,2,946,460,5
