Days,Visitors,Visits,New Visits
14/08/2013,104697,117545,40701
15/08/2013,92434,104381,33642
16/08/2013,84562,95879,32241
17/08/2013,60795,67339,24340
18/08/2013,58456,65138,24375
19/08/2013,99451,112246,40184
20/08/2013,122412,136350,47682
21/08/2013,102226,115269,41930
22/08/2013,91797,102983,36956
23/08/2013,108334,127266,38591
24/08/2013,95529,111185,34390
25/08/2013,91515,107478,33894
26/08/2013,125547,150171,53218
27/08/2013,140248,169573,56117
28/08/2013,119356,142218,45514
29/08/2013,121228,143846,50119
30/08/2013,139097,165464,59406
31/08/2013,107253,125269,47368
01/09/2013,113293,132994,49307
02/09/2013,139063,166877,54015
03/09/2013,128980,155854,47548
04/09/2013,110009,131072,40853
05/09/2013,122250,146276,43845
06/09/2013,108821,129338,41228
07/09/2013,87414,102665,31669
08/09/2013,90717,107470,33868
09/09/2013,131879,158673,50436
10/09/2013,62711,76020,30571
11/09/2013,61671,75838,29421
12/09/2013,64802,77690,33694
13/09/2013,48627,59625,22756
14/09/2013,38839,45553,18407
15/09/2013,34809,41343,17269
16/09/2013,43652,52227,21770
17/09/2013,57291,70551,27315
18/09/2013,59862,73717,28500
19/09/2013,62969,77198,30934
20/09/2013,58095,71065,28991
21/09/2013,40758,49273,20961
22/09/2013,40148,48527,20297
23/09/2013,58972,73731,28023
24/09/2013,55259,68591,26871
25/09/2013,55780,69113,25692
26/09/2013,56998,71118,27487
27/09/2013,67543,83875,35946
28/09/2013,43820,53078,22878
29/09/2013,42729,52575,21576
30/09/2013,68271,86160,33443
01/10/2013,70505,85848,36757
02/10/2013,70155,86616,34543
03/10/2013,64213,78579,31921
04/10/2013,68719,82892,36707
05/10/2013,53030,63081,28432
06/10/2013,51272,61453,26434
07/10/2013,74186,92004,36281
08/10/2013,73631,89535,38154
09/10/2013,74999,92482,36206
10/10/2013,74160,91153,36213
11/10/2013,66308,82603,30763
12/10/2013,50201,59940,24761
13/10/2013,52207,62886,25543
14/10/2013,74891,93620,34473
15/10/2013,75636,93390,34398
16/10/2013,77169,94818,36128
17/10/2013,81133,98587,37151
18/10/2013,68499,82335,32354
19/10/2013,54237,64045,25230
20/10/2013,56752,67486,26246
21/10/2013,81222,99816,36383
22/10/2013,77604,94603,33896
23/10/2013,79930,96888,35202
24/10/2013,63117,76130,28530
25/10/2013,66223,80185,31780
26/10/2013,46397,54683,22247
27/10/2013,54944,65575,26965
28/10/2013,87613,105242,38493
29/10/2013,78812,95347,39665
30/10/2013,74911,91342,35712
31/10/2013,91569,106639,34608
01/11/2013,69317,82464,32827
02/11/2013,50090,59389,25777
03/11/2013,58369,69769,28702
04/11/2013,82006,99207,39800
05/11/2013,80480,96232,38534
06/11/2013,83343,99927,39790
07/11/2013,87844,104141,45148
08/11/2013,88203,103063,46885
09/11/2013,74462,87633,38813
10/11/2013,69353,81308,36767
11/11/2013,162169,187733,96307
12/11/2013,256223,294671,173181
13/11/2013,168308,224301,90767
14/11/2013,181716,230931,97312
15/11/2013,206510,267496,112286
16/11/2013,153407,190138,85098
17/11/2013,222224,282744,136514
18/11/2013,157131,200742,80959
19/11/2013,138362,172063,67604
20/11/2013,101201,124798,46552
21/11/2013,94857,116040,44312
22/11/2013,85138,103056,38923
23/11/2013,68521,80839,32590
24/11/2013,71211,84271,33478
25/11/2013,89817,111259,42551
26/11/2013,81718,99600,38858
27/11/2013,74222,91122,34881
28/11/2013,74083,90810,37423
29/11/2013,87822,108769,38880
30/11/2013,58736,70438,30003
01/12/2013,68348,80301,30109
02/12/2013,104911,127984,52613
03/12/2013,98359,118363,51929
04/12/2013,109485,131196,53892
05/12/2013,102294,122775,54278
06/12/2013,96897,115620,50929
07/12/2013,75667,88025,41705
08/12/2013,74551,86826,41555
09/12/2013,111658,133504,62035
10/12/2013,159770,193732,97796
11/12/2013,243319,339280,147887
12/12/2013,138770,161711,67683
13/12/2013,118521,139867,57803
14/12/2013,93095,106575,48675
15/12/2013,98327,112423,51424
16/12/2013,154370,180062,75752
17/12/2013,142571,166762,68868
18/12/2013,142747,166494,65702
19/12/2013,122485,144552,57884
20/12/2013,114880,132509,53898
21/12/2013,95063,107018,45075
22/12/2013,98788,110788,47491
23/12/2013,116568,134300,53532
24/12/2013,73084,82379,33972
25/12/2013,85137,95344,39549
26/12/2013,118975,139497,54230
27/12/2013,112994,130870,50340
28/12/2013,92240,104395,42016
29/12/2013,85922,96783,38367
30/12/2013,109048,126381,45765
